#format table ## [Custom WaveView] saved 23:10:13 Tue Apr 23 2024
XVAL ,v(/a) ,v(/b) ,v(/c) ,v(/d) ,v(/f) ,v(/vdd!) 
 1.130E-08 , 2.993E-07 , 1.800E+00 ,-3.359E-06 ,-1.344E-06 ,-7.486E-07 , 1.800E+00 
 1.202E-08 , 1.898E-07 , 1.800E+00 , 7.611E-08 , 2.732E-08 ,-3.882E-06 , 1.800E+00 
 1.346E-08 ,-2.914E-08 , 1.800E+00 , 1.338E-08 , 3.785E-09 ,-1.630E-06 , 1.800E+00 
 1.510E-08 ,-5.257E-09 , 1.800E+00 ,-5.788E-08 ,-2.294E-08 ,-5.186E-07 , 1.800E+00 
 1.511E-08 , 1.295E-01 , 1.801E+00 , 1.218E-05 , 8.202E-06 ,-5.094E-07 , 1.800E+00 
 1.513E-08 , 2.835E-01 , 1.801E+00 , 1.159E-05 , 8.816E-06 ,-5.001E-07 , 1.800E+00 
 1.514E-08 , 4.451E-01 , 1.801E+00 , 6.128E-06 , 5.608E-06 ,-4.909E-07 , 1.800E+00 
 1.516E-08 , 6.663E-01 , 1.801E+00 , 3.955E-06 , 3.971E-06 ,-4.784E-07 , 1.800E+00 
 1.518E-08 , 9.316E-01 , 1.801E+00 , 3.189E-06 , 2.008E-06 ,-4.634E-07 , 1.800E+00 
 1.520E-08 , 1.216E+00 , 1.801E+00 , 3.451E-06 ,-7.367E-08 ,-4.475E-07 , 1.800E+00 
 1.523E-08 , 1.500E+00 , 1.801E+00 , 1.507E-07 ,-7.402E-07 ,-4.316E-07 , 1.800E+00 
 1.524E-08 , 1.680E+00 , 1.801E+00 ,-5.062E-07 ,-1.166E-06 ,-4.215E-07 , 1.800E+00 
 1.525E-08 , 1.764E+00 , 1.801E+00 ,-8.139E-07 ,-9.767E-07 ,-4.167E-07 , 1.800E+00 
 1.525E-08 , 1.785E+00 , 1.801E+00 ,-1.210E-05 ,-8.955E-06 ,-4.140E-07 , 1.800E+00 
 1.526E-08 , 1.795E+00 , 1.800E+00 ,-2.010E-05 ,-1.487E-05 ,-4.114E-07 , 1.800E+00 
 1.526E-08 , 1.800E+00 , 1.800E+00 ,-2.134E-05 ,-1.618E-05 ,-4.078E-07 , 1.800E+00 
 1.527E-08 , 1.800E+00 , 1.800E+00 ,-1.060E-05 ,-8.318E-06 ,-4.010E-07 , 1.800E+00 
 1.528E-08 , 1.800E+00 , 1.800E+00 ,-3.888E-06 ,-2.640E-06 ,-3.950E-07 , 1.800E+00 
 1.529E-08 , 1.800E+00 , 1.800E+00 ,-2.000E-06 ,-5.555E-07 ,-3.871E-07 , 1.800E+00 
 1.532E-08 , 1.800E+00 , 1.800E+00 ,-2.751E-06 ,-1.206E-06 ,-3.712E-07 , 1.800E+00 
 1.536E-08 , 1.800E+00 , 1.800E+00 ,-1.955E-06 ,-1.241E-06 ,-3.422E-07 , 1.800E+00 
 1.545E-08 , 1.800E+00 , 1.800E+00 ,-3.617E-07 ,-2.011E-07 ,-2.841E-07 , 1.800E+00 
 1.561E-08 , 1.800E+00 , 1.800E+00 ,-2.959E-07 ,-1.589E-07 ,-1.728E-07 , 1.800E+00 
 1.594E-08 , 1.800E+00 , 1.800E+00 ,-1.643E-07 ,-7.451E-08 , 4.998E-08 , 1.800E+00 
 1.790E-08 , 1.800E+00 , 1.800E+00 ,-8.275E-08 ,-3.771E-08 , 2.528E-08 , 1.800E+00 
 2.010E-08 , 1.800E+00 , 1.800E+00 , 8.332E-09 , 3.363E-09 ,-2.288E-09 , 1.800E+00 
 2.011E-08 , 1.732E+00 , 1.733E+00 , 6.385E-02 , 6.942E-04 , 2.625E-05 , 1.800E+00 
 2.012E-08 , 1.647E+00 , 1.648E+00 , 1.461E-01 , 1.095E-03 , 5.917E-05 , 1.800E+00 
 2.012E-08 , 1.538E+00 , 1.539E+00 , 2.537E-01 , 1.079E-03 , 9.955E-05 , 1.800E+00 
 2.014E-08 , 1.385E+00 , 1.386E+00 , 4.065E-01 , 7.388E-04 , 1.482E-04 , 1.800E+00 
 2.015E-08 , 1.217E+00 , 1.218E+00 , 5.755E-01 , 3.670E-04 , 1.717E-04 , 1.800E+00 
 2.016E-08 , 1.105E+00 , 1.107E+00 , 6.879E-01 , 1.606E-04 , 1.596E-04 , 1.800E+00 
 2.017E-08 , 9.942E-01 , 9.945E-01 , 8.003E-01 ,-5.930E-05 , 1.128E-04 , 1.800E+00 
 2.019E-08 , 8.166E-01 , 8.146E-01 , 9.799E-01 ,-3.020E-04 ,-4.832E-05 , 1.800E+00 
 2.020E-08 , 6.710E-01 , 6.672E-01 , 1.129E+00 ,-1.365E-04 ,-2.684E-04 , 1.800E+00 
 2.021E-08 , 4.977E-01 , 4.930E-01 , 1.307E+00 ,-7.098E-05 ,-5.748E-04 , 1.800E+00 
 2.023E-08 , 3.277E-01 , 3.233E-01 , 1.479E+00 ,-1.110E-04 ,-8.582E-04 , 1.800E+00 
 2.024E-08 , 1.178E-01 , 1.143E-01 , 1.691E+00 , 5.093E-05 ,-1.135E-03 , 1.800E+00 
 2.025E-08 , 4.360E-02 , 4.034E-02 , 1.765E+00 , 1.422E-04 ,-1.210E-03 , 1.800E+00 
 2.025E-08 , 2.130E-02 , 1.868E-02 , 1.786E+00 ,-2.316E-05 ,-1.232E-03 , 1.800E+00 
 2.026E-08 , 8.741E-03 , 6.840E-03 , 1.797E+00 ,-1.599E-04 ,-1.241E-03 , 1.800E+00 
 2.026E-08 , 2.516E-03 , 1.562E-03 , 1.801E+00 ,-2.063E-04 ,-1.232E-03 , 1.800E+00 
 2.027E-08 , 1.186E-03 , 1.466E-03 , 1.801E+00 ,-4.549E-05 ,-1.169E-03 , 1.800E+00 
 2.028E-08 , 1.311E-03 , 2.255E-03 , 1.801E+00 , 1.242E-04 ,-1.078E-03 , 1.800E+00 
 2.029E-08 , 1.117E-03 , 2.530E-03 , 1.801E+00 , 2.339E-04 ,-9.369E-04 , 1.800E+00 
 2.031E-08 , 8.933E-04 , 2.589E-03 , 1.801E+00 , 2.635E-04 ,-7.156E-04 , 1.800E+00 
 2.033E-08 , 8.665E-04 , 2.566E-03 , 1.801E+00 , 2.370E-04 ,-4.319E-04 , 1.800E+00 
 2.036E-08 , 8.158E-04 , 2.292E-03 , 1.801E+00 , 1.926E-04 ,-1.608E-04 , 1.800E+00 
 2.039E-08 , 6.565E-04 , 1.799E-03 , 1.801E+00 , 1.433E-04 , 6.889E-05 , 1.800E+00 
 2.044E-08 , 4.521E-04 , 1.223E-03 , 1.801E+00 , 9.615E-05 , 2.362E-04 , 1.800E+00 
 2.049E-08 , 2.647E-04 , 7.001E-04 , 1.800E+00 , 5.781E-05 , 3.117E-04 , 1.800E+00 
 2.057E-08 , 1.271E-04 , 3.212E-04 , 1.800E+00 , 3.094E-05 , 2.879E-04 , 1.800E+00 
 2.067E-08 , 4.896E-05 , 1.139E-04 , 1.800E+00 , 1.543E-05 , 1.938E-04 , 1.800E+00 
 2.080E-08 , 2.174E-05 , 4.447E-05 , 1.800E+00 , 8.935E-06 , 9.779E-05 , 1.800E+00 
 2.096E-08 , 1.410E-05 , 2.687E-05 , 1.800E+00 , 6.152E-06 , 3.411E-05 , 1.800E+00 
 2.118E-08 , 9.839E-06 , 1.837E-05 , 1.800E+00 , 4.324E-06 , 6.828E-06 , 1.800E+00 
 2.154E-08 , 5.430E-06 , 9.050E-06 , 1.800E+00 , 2.743E-06 , 4.615E-06 , 1.800E+00 
 2.203E-08 , 2.784E-06 , 3.617E-06 , 1.800E+00 , 2.081E-06 , 5.342E-06 , 1.800E+00 
 2.270E-08 , 2.183E-06 , 2.155E-06 , 1.800E+00 , 1.180E-06 , 2.113E-06 , 1.800E+00 
 2.373E-08 , 1.264E-06 , 1.653E-06 , 1.800E+00 , 9.081E-07 ,-1.350E-07 , 1.800E+00 
