#format table ## [Custom WaveView] saved 22:50:32 Tue Apr 23 2024
XVAL ,v(/a) ,v(/b) ,v(/c) ,v(/d) ,v(/f) ,v(/vdd!) 
 1.115E-08 , 2.464E-07 , 1.800E+00 ,-4.172E-06 ,-1.644E-06 , 1.055E-08 , 1.800E+00 
 1.171E-08 , 2.084E-07 , 1.800E+00 ,-6.087E-07 ,-2.392E-07 ,-2.829E-06 , 1.800E+00 
 1.283E-08 , 1.324E-07 , 1.800E+00 , 4.092E-07 ,-1.711E-07 ,-2.335E-06 , 1.800E+00 
 1.483E-08 ,-3.146E-09 , 1.800E+00 ,-5.361E-08 ,-4.931E-08 , 8.458E-08 , 1.800E+00 
 1.510E-08 ,-2.568E-09 , 1.800E+00 ,-1.166E-07 ,-4.487E-08 , 8.041E-08 , 1.800E+00 
 1.511E-08 , 1.337E-01 , 1.800E+00 , 8.839E-06 , 7.841E-06 , 8.020E-08 , 1.800E+00 
 1.513E-08 , 2.909E-01 , 1.800E+00 , 5.536E-06 , 5.973E-06 , 7.999E-08 , 1.800E+00 
 1.514E-08 , 4.988E-01 , 1.800E+00 , 1.352E-06 , 2.094E-06 , 7.973E-08 , 1.800E+00 
 1.516E-08 , 7.194E-01 , 1.800E+00 , 2.997E-06 , 2.981E-06 , 7.945E-08 , 1.800E+00 
 1.518E-08 , 9.669E-01 , 1.800E+00 , 7.675E-07 , 5.203E-07 , 7.913E-08 , 1.800E+00 
 1.520E-08 , 1.201E+00 , 1.801E+00 ,-1.320E-06 ,-1.784E-06 , 7.884E-08 , 1.800E+00 
 1.522E-08 , 1.436E+00 , 1.801E+00 ,-2.449E-06 ,-1.537E-06 , 7.854E-08 , 1.800E+00 
 1.524E-08 , 1.677E+00 , 1.801E+00 ,-1.579E-06 ,-1.281E-06 , 7.824E-08 , 1.800E+00 
 1.525E-08 , 1.773E+00 , 1.801E+00 ,-1.232E-06 ,-9.501E-07 , 7.811E-08 , 1.800E+00 
 1.525E-08 , 1.790E+00 , 1.800E+00 ,-1.389E-05 ,-1.217E-05 , 7.805E-08 , 1.800E+00 
 1.526E-08 , 1.798E+00 , 1.800E+00 ,-1.926E-05 ,-1.738E-05 , 7.799E-08 , 1.800E+00 
 1.526E-08 , 1.800E+00 , 1.800E+00 ,-1.389E-05 ,-1.331E-05 , 7.791E-08 , 1.800E+00 
 1.527E-08 , 1.800E+00 , 1.800E+00 ,-1.276E-06 ,-2.063E-06 , 7.778E-08 , 1.800E+00 
 1.528E-08 , 1.800E+00 , 1.800E+00 , 2.308E-06 , 1.784E-06 , 7.764E-08 , 1.800E+00 
 1.529E-08 , 1.800E+00 , 1.800E+00 , 2.725E-07 , 3.294E-07 , 7.744E-08 , 1.800E+00 
 1.532E-08 , 1.800E+00 , 1.800E+00 ,-1.202E-06 ,-1.199E-06 , 7.704E-08 , 1.800E+00 
 1.537E-08 , 1.800E+00 , 1.800E+00 , 1.206E-07 ,-2.924E-08 , 7.628E-08 , 1.800E+00 
 1.547E-08 , 1.800E+00 , 1.800E+00 , 1.039E-07 ,-3.534E-08 , 7.476E-08 , 1.800E+00 
 1.567E-08 , 1.800E+00 , 1.800E+00 , 7.062E-08 ,-4.755E-08 , 7.171E-08 , 1.800E+00 
 1.607E-08 , 1.800E+00 , 1.800E+00 , 4.047E-09 ,-4.330E-08 , 6.562E-08 , 1.800E+00 
 1.845E-08 , 1.800E+00 , 1.800E+00 , 1.358E-09 ,-1.782E-08 , 2.906E-08 , 1.800E+00 
 2.010E-08 , 1.800E+00 , 1.800E+00 ,-4.983E-10 ,-2.265E-10 , 3.827E-09 , 1.800E+00 
 2.011E-08 , 1.730E+00 , 1.730E+00 , 6.634E-02 , 7.319E-04 , 2.373E-05 , 1.800E+00 
 2.012E-08 , 1.645E+00 , 1.645E+00 , 1.485E-01 , 1.095E-03 , 5.282E-05 , 1.800E+00 
 2.012E-08 , 1.543E+00 , 1.543E+00 , 2.497E-01 , 1.015E-03 , 8.551E-05 , 1.800E+00 
 2.014E-08 , 1.393E+00 , 1.393E+00 , 3.994E-01 , 6.485E-04 , 1.271E-04 , 1.800E+00 
 2.015E-08 , 1.258E+00 , 1.259E+00 , 5.346E-01 , 3.833E-04 , 1.476E-04 , 1.800E+00 
 2.016E-08 , 1.137E+00 , 1.138E+00 , 6.566E-01 , 1.982E-04 , 1.436E-04 , 1.800E+00 
 2.017E-08 , 1.009E+00 , 1.009E+00 , 7.861E-01 ,-6.330E-07 , 1.032E-04 , 1.800E+00 
 2.018E-08 , 8.346E-01 , 8.324E-01 , 9.632E-01 ,-1.214E-04 ,-2.376E-05 , 1.800E+00 
 2.019E-08 , 7.086E-01 , 7.052E-01 , 1.092E+00 , 1.698E-04 ,-1.661E-04 , 1.800E+00 
 2.020E-08 , 5.822E-01 , 5.781E-01 , 1.223E+00 , 4.497E-04 ,-3.316E-04 , 1.800E+00 
 2.022E-08 , 4.102E-01 , 4.066E-01 , 1.399E+00 , 3.246E-04 ,-5.332E-04 , 1.800E+00 
 2.023E-08 , 2.381E-01 , 2.354E-01 , 1.572E+00 , 2.699E-04 ,-6.790E-04 , 1.800E+00 
 2.024E-08 , 1.121E-01 , 1.099E-01 , 1.699E+00 , 3.590E-04 ,-7.491E-04 , 1.800E+00 
 2.025E-08 , 3.616E-02 , 3.424E-02 , 1.775E+00 , 4.208E-04 ,-7.780E-04 , 1.800E+00 
 2.025E-08 , 1.588E-02 , 1.479E-02 , 1.793E+00 , 1.222E-04 ,-7.724E-04 , 1.800E+00 
 2.026E-08 , 5.721E-03 , 5.464E-03 , 1.800E+00 ,-1.028E-04 ,-7.564E-04 , 1.800E+00 
 2.026E-08 , 1.763E-03 , 2.347E-03 , 1.802E+00 ,-1.884E-04 ,-7.205E-04 , 1.800E+00 
 2.027E-08 , 1.396E-03 , 2.628E-03 , 1.801E+00 ,-7.206E-05 ,-6.437E-04 , 1.800E+00 
 2.028E-08 , 1.339E-03 , 2.766E-03 , 1.801E+00 , 5.164E-05 ,-5.566E-04 , 1.800E+00 
 2.030E-08 , 9.740E-04 , 2.428E-03 , 1.801E+00 , 1.182E-04 ,-4.321E-04 , 1.800E+00 
 2.031E-08 , 7.219E-04 , 2.063E-03 , 1.801E+00 , 1.257E-04 ,-2.778E-04 , 1.800E+00 
 2.034E-08 , 6.278E-04 , 1.751E-03 , 1.801E+00 , 1.113E-04 ,-1.248E-04 , 1.800E+00 
 2.036E-08 , 5.013E-04 , 1.349E-03 , 1.800E+00 , 8.711E-05 , 1.425E-05 , 1.800E+00 
 2.040E-08 , 3.339E-04 , 8.946E-04 , 1.800E+00 , 5.907E-05 , 1.222E-04 , 1.800E+00 
 2.046E-08 , 1.787E-04 , 4.741E-04 , 1.800E+00 , 3.460E-05 , 1.790E-04 , 1.800E+00 
 2.054E-08 , 7.736E-05 , 1.951E-04 , 1.800E+00 , 1.924E-05 , 1.666E-04 , 1.800E+00 
 2.064E-08 , 2.850E-05 , 6.447E-05 , 1.800E+00 , 1.110E-05 , 1.113E-04 , 1.800E+00 
 2.076E-08 , 1.309E-05 , 2.547E-05 , 1.800E+00 , 7.207E-06 , 5.518E-05 , 1.800E+00 
 2.092E-08 , 8.951E-06 , 1.683E-05 , 1.800E+00 , 5.052E-06 , 1.673E-05 , 1.800E+00 
 2.116E-08 , 6.153E-06 , 1.142E-05 , 1.800E+00 , 3.530E-06 , 2.644E-06 , 1.800E+00 
 2.156E-08 , 3.001E-06 , 4.622E-06 , 1.800E+00 , 2.629E-06 , 2.955E-06 , 1.800E+00 
 2.209E-08 , 1.510E-06 , 1.651E-06 , 1.800E+00 , 1.458E-06 , 3.360E-06 , 1.800E+00 
 2.280E-08 , 1.210E-06 , 1.347E-06 , 1.800E+00 , 1.155E-06 , 9.678E-07 , 1.800E+00 
 2.390E-08 , 7.435E-07 , 8.717E-07 , 1.800E+00 , 6.823E-07 ,-2.293E-07 , 1.800E+00 
 2.510E-08 , 5.360E-07 , 5.944E-07 , 1.800E+00 , 5.087E-07 ,-6.685E-08 , 1.800E+00 
 2.511E-08 , 6.758E-02 , 8.052E-04 , 1.800E+00 , 2.329E-05 , 7.691E-06 , 1.800E+00 
 2.512E-08 , 1.515E-01 , 1.214E-03 , 1.800E+00 , 3.960E-05 , 1.815E-05 , 1.800E+00 
 2.512E-08 , 2.544E-01 , 1.176E-03 , 1.800E+00 , 4.733E-05 , 3.178E-05 , 1.800E+00 
