#format table ## [Custom WaveView] saved 15:31:06 Mon Apr 29 2024
XVAL ,v(/A) ,v(/B) ,v(/C) ,v(/D) ,v(/out) 
 1.031E-08 , 2.043E-02 , 1.800E+00 ,-6.566E-06 ,-2.324E-05 , 2.954E-05 
 1.031E-08 , 9.291E-03 , 1.804E+00 ,-6.778E-06 ,-2.152E-05 , 2.058E-05 
 1.032E-08 , 6.831E-03 , 1.803E+00 ,-5.573E-06 ,-1.488E-05 , 1.425E-05 
 1.032E-08 , 5.359E-03 , 1.802E+00 ,-4.179E-06 ,-7.197E-06 , 8.461E-06 
 1.033E-08 , 3.372E-03 , 1.801E+00 ,-1.882E-06 , 1.033E-06 , 1.550E-06 
 1.035E-08 , 1.547E-03 , 1.800E+00 , 1.277E-06 , 5.550E-06 ,-4.367E-06 
 1.036E-08 , 6.109E-04 , 1.800E+00 , 2.088E-06 , 6.185E-06 ,-7.964E-06 
 1.038E-08 , 2.000E-04 , 1.800E+00 , 1.896E-06 , 4.756E-06 ,-9.975E-06 
 1.041E-08 , 6.004E-05 , 1.800E+00 , 1.642E-06 , 2.865E-06 ,-1.048E-05 
 1.045E-08 , 2.875E-05 , 1.800E+00 , 1.299E-06 , 3.076E-07 ,-9.381E-06 
 1.050E-08 , 2.140E-05 , 1.800E+00 , 8.045E-07 ,-3.947E-07 ,-7.793E-06 
 1.058E-08 , 8.788E-06 , 1.800E+00 ,-4.332E-08 ,-1.666E-07 ,-4.928E-06 
 1.074E-08 ,-8.603E-07 , 1.800E+00 ,-4.154E-08 , 2.324E-07 ,-2.018E-06 
 1.101E-08 ,-3.599E-07 , 1.800E+00 ,-3.841E-08 , 1.977E-07 ,-3.588E-07 
 1.155E-08 , 6.410E-07 , 1.800E+00 ,-3.216E-08 , 1.282E-07 ,-3.284E-07 
 1.263E-08 , 5.101E-08 , 1.800E+00 ,-1.978E-07 ,-1.073E-08 ,-2.676E-07 
 1.520E-08 ,-3.202E-08 , 1.800E+00 ,-5.914E-07 , 1.003E-08 ,-1.230E-07 
 1.521E-08 , 7.555E-02 , 1.801E+00 ,-5.924E-07 , 2.215E-06 , 1.419E-06 
 1.521E-08 , 1.744E-01 , 1.801E+00 ,-5.934E-07 , 2.983E-06 , 2.962E-06 
 1.522E-08 , 2.887E-01 , 1.801E+00 ,-5.945E-07 , 2.083E-06 , 4.523E-06 
 1.523E-08 , 4.746E-01 , 1.801E+00 ,-5.960E-07 , 6.790E-07 , 5.801E-06 
 1.524E-08 , 6.491E-01 , 1.801E+00 ,-5.975E-07 ,-6.394E-07 , 7.001E-06 
 1.525E-08 , 8.668E-01 , 1.801E+00 ,-5.994E-07 ,-8.530E-07 , 7.666E-06 
 1.527E-08 , 1.140E+00 , 1.801E+00 ,-6.017E-07 ,-1.117E-06 , 8.488E-06 
 1.529E-08 , 1.497E+00 , 1.802E+00 ,-6.047E-07 ,-1.462E-06 , 6.978E-06 
 1.530E-08 , 1.746E+00 , 1.801E+00 ,-6.068E-07 ,-1.703E-06 , 5.920E-06 
 1.530E-08 , 1.777E+00 , 1.801E+00 ,-9.087E-07 ,-3.552E-06 , 4.316E-06 
 1.531E-08 , 1.793E+00 , 1.800E+00 ,-1.211E-06 ,-5.400E-06 , 2.712E-06 
 1.531E-08 , 1.800E+00 , 1.800E+00 ,-1.562E-06 ,-4.888E-06 , 8.475E-07 
 1.532E-08 , 1.800E+00 , 1.800E+00 ,-8.898E-07 ,-1.747E-06 ,-2.100E-06 
 1.533E-08 , 1.800E+00 , 1.800E+00 ,-7.395E-08 , 2.069E-06 ,-3.250E-06 
 1.534E-08 , 1.800E+00 , 1.800E+00 , 8.194E-07 , 3.274E-06 ,-3.206E-06 
 1.536E-08 , 1.800E+00 , 1.800E+00 , 5.597E-07 , 2.022E-06 ,-3.118E-06 
 1.539E-08 , 1.800E+00 , 1.800E+00 , 1.000E-07 ,-1.956E-07 ,-2.587E-06 
 1.546E-08 , 1.800E+00 , 1.800E+00 ,-3.076E-07 ,-5.763E-07 ,-1.526E-06 
 1.559E-08 , 1.800E+00 , 1.800E+00 ,-1.577E-07 , 4.182E-07 ,-1.090E-06 
 1.584E-08 , 1.800E+00 , 1.800E+00 , 1.422E-07 , 3.561E-07 ,-2.199E-07 
 1.634E-08 , 1.800E+00 , 1.800E+00 , 9.090E-08 , 2.319E-07 ,-2.004E-07 
 1.735E-08 , 1.800E+00 , 1.800E+00 ,-1.168E-08 ,-1.640E-08 ,-1.615E-07 
 2.020E-08 , 1.800E+00 , 1.800E+00 , 4.846E-09 , 1.056E-08 ,-4.613E-08 
 2.021E-08 , 1.737E+00 , 1.736E+00 , 5.781E-02 , 1.074E-03 , 5.954E-06 
 2.021E-08 , 1.656E+00 , 1.654E+00 , 1.351E-01 , 1.945E-03 , 1.605E-05 
 2.022E-08 , 1.558E+00 , 1.555E+00 , 2.302E-01 , 2.326E-03 , 3.124E-05 
 2.022E-08 , 1.407E+00 , 1.404E+00 , 3.803E-01 , 2.176E-03 , 5.937E-05 
 2.023E-08 , 1.241E+00 , 1.238E+00 , 5.461E-01 , 1.829E-03 , 9.233E-05 
 2.025E-08 , 1.038E+00 , 1.033E+00 , 7.529E-01 , 1.119E-03 , 1.088E-04 
 2.026E-08 , 7.003E-01 , 6.916E-01 , 1.097E+00 ,-2.474E-03 ,-5.535E-05 
 2.028E-08 , 4.844E-01 , 4.764E-01 , 1.318E+00 ,-7.163E-03 ,-3.236E-04 
 2.029E-08 , 2.683E-01 , 2.621E-01 , 1.537E+00 ,-1.247E-02 ,-7.231E-04 
 2.030E-08 , 6.316E-02 , 5.894E-02 , 1.743E+00 ,-1.700E-02 ,-1.218E-03 
 2.031E-08 , 2.212E-02 , 2.191E-02 , 1.780E+00 ,-1.943E-02 ,-1.559E-03 
 2.031E-08 , 4.581E-03 , 7.169E-03 , 1.794E+00 ,-2.094E-02 ,-1.901E-03 
 2.032E-08 , 7.176E-04 , 4.426E-03 , 1.796E+00 ,-2.143E-02 ,-2.238E-03 
 2.033E-08 , 9.978E-04 , 4.694E-03 , 1.795E+00 ,-2.107E-02 ,-2.722E-03 
 2.034E-08 , 1.221E-03 , 4.545E-03 , 1.795E+00 ,-1.997E-02 ,-3.217E-03 
 2.036E-08 , 8.726E-04 , 3.988E-03 , 1.796E+00 ,-1.752E-02 ,-3.561E-03 
 2.038E-08 , 6.021E-04 , 3.605E-03 , 1.797E+00 ,-1.423E-02 ,-1.918E-03 
 2.040E-08 , 5.699E-04 , 3.413E-03 , 1.797E+00 ,-1.170E-02 , 3.541E-03 
 2.043E-08 , 6.060E-04 , 3.460E-03 , 1.798E+00 ,-9.261E-03 , 1.452E-02 
 2.045E-08 , 6.240E-04 , 3.504E-03 , 1.798E+00 ,-7.069E-03 , 2.389E-02 
 2.046E-08 , 6.783E-04 , 3.605E-03 , 1.798E+00 ,-4.735E-03 , 3.240E-02 
 2.049E-08 , 8.836E-04 , 4.026E-03 , 1.799E+00 ,-2.329E-03 , 4.011E-02 
 2.051E-08 , 1.249E-03 , 4.823E-03 , 1.800E+00 ,-8.227E-04 , 4.439E-02 
 2.054E-08 , 1.668E-03 , 5.844E-03 , 1.800E+00 ,-1.145E-04 , 4.548E-02 
 2.057E-08 , 1.811E-03 , 6.016E-03 , 1.800E+00 ,-1.647E-06 , 4.398E-02 
 2.060E-08 , 1.668E-03 , 5.232E-03 , 1.800E+00 ,-6.355E-05 , 4.076E-02 
 2.064E-08 , 1.312E-03 , 3.884E-03 , 1.800E+00 ,-1.274E-04 , 3.599E-02 
 2.069E-08 , 8.607E-04 , 2.439E-03 , 1.800E+00 ,-1.370E-04 , 2.989E-02 
 2.075E-08 , 4.280E-04 , 1.189E-03 , 1.800E+00 ,-1.085E-04 , 2.256E-02 
 2.082E-08 , 2.030E-04 , 5.610E-04 , 1.800E+00 ,-8.516E-05 , 1.681E-02 
 2.089E-08 , 9.084E-05 , 2.483E-04 , 1.800E+00 ,-7.137E-05 , 1.214E-02 
