#format table ## [Custom WaveView] saved 15:29:31 Mon Apr 29 2024
XVAL ,v(/A) ,v(/B) ,v(/C) ,v(/D) ,v(/out) 
 1.217E-08 , 2.263E-01 , 1.708E+00 , 2.090E-05 , 7.023E-05 , 5.032E-05 
 1.217E-08 , 1.634E-01 , 1.748E+00 , 1.334E-05 , 2.759E-05 , 4.984E-05 
 1.217E-08 , 1.140E-01 , 1.775E+00 , 6.343E-06 ,-1.027E-05 , 4.785E-05 
 1.217E-08 , 7.651E-02 , 1.793E+00 , 2.352E-07 ,-4.056E-05 , 4.549E-05 
 1.217E-08 , 5.008E-02 , 1.803E+00 ,-4.730E-06 ,-6.083E-05 , 4.239E-05 
 1.218E-08 , 3.345E-02 , 1.808E+00 ,-8.369E-06 ,-6.990E-05 , 3.872E-05 
 1.218E-08 , 2.389E-02 , 1.810E+00 ,-1.083E-05 ,-6.927E-05 , 3.437E-05 
 1.218E-08 , 1.871E-02 , 1.810E+00 ,-1.227E-05 ,-6.127E-05 , 3.014E-05 
 1.219E-08 , 1.603E-02 , 1.809E+00 ,-1.259E-05 ,-4.812E-05 , 2.465E-05 
 1.219E-08 , 1.423E-02 , 1.807E+00 ,-1.132E-05 ,-3.176E-05 , 1.883E-05 
 1.220E-08 , 1.159E-02 , 1.804E+00 ,-8.084E-06 ,-1.460E-05 , 1.240E-05 
 1.221E-08 , 8.759E-03 , 1.803E+00 ,-4.908E-06 ,-4.315E-06 , 7.839E-06 
 1.221E-08 , 6.228E-03 , 1.802E+00 ,-1.566E-06 , 1.765E-06 , 4.357E-06 
 1.222E-08 , 4.056E-03 , 1.801E+00 , 5.904E-07 , 5.142E-06 , 1.406E-06 
 1.223E-08 , 2.362E-03 , 1.801E+00 , 1.757E-06 , 6.098E-06 ,-9.982E-07 
 1.225E-08 , 1.203E-03 , 1.800E+00 , 1.618E-06 , 4.892E-06 ,-2.743E-06 
 1.226E-08 , 5.257E-04 , 1.800E+00 , 1.450E-06 , 3.443E-06 ,-3.463E-06 
 1.228E-08 , 1.868E-04 , 1.800E+00 , 9.138E-07 , 2.125E-06 ,-4.340E-06 
 1.231E-08 , 5.220E-05 , 1.800E+00 , 2.318E-07 , 4.492E-07 ,-4.146E-06 
 1.235E-08 , 2.206E-05 , 1.800E+00 , 9.848E-08 , 1.784E-07 ,-3.831E-06 
 1.240E-08 , 1.918E-05 , 1.800E+00 ,-6.773E-08 ,-1.593E-07 ,-3.100E-06 
 1.248E-08 , 8.153E-06 , 1.800E+00 ,-5.945E-08 ,-8.477E-08 ,-1.934E-06 
 1.265E-08 ,-1.075E-06 , 1.800E+00 ,-4.289E-08 , 6.438E-08 ,-7.428E-07 
 1.298E-08 ,-4.950E-07 , 1.800E+00 ,-9.776E-09 , 5.569E-08 ,-9.125E-08 
 1.364E-08 , 6.643E-07 , 1.800E+00 ,-2.195E-07 , 3.831E-08 , 5.045E-08 
 1.496E-08 , 3.136E-08 , 1.800E+00 ,-6.390E-07 , 3.541E-09 , 3.339E-07 
 1.520E-08 , 2.579E-08 , 1.800E+00 ,-7.145E-07 , 3.433E-09 , 3.849E-07 
 1.521E-08 , 7.874E-02 , 1.801E+00 ,-7.165E-07 , 8.283E-07 , 3.863E-07 
 1.521E-08 , 1.796E-01 , 1.801E+00 ,-7.185E-07 , 1.653E-06 , 9.390E-07 
 1.522E-08 , 2.994E-01 , 1.801E+00 ,-7.207E-07 , 1.259E-06 , 1.526E-06 
 1.523E-08 , 4.893E-01 , 1.801E+00 ,-7.240E-07 , 6.482E-07 , 2.435E-06 
 1.524E-08 , 6.673E-01 , 1.801E+00 ,-7.272E-07 , 7.308E-08 , 3.291E-06 
 1.525E-08 , 9.160E-01 , 1.801E+00 ,-7.316E-07 ,-5.196E-07 , 4.201E-06 
 1.528E-08 , 1.332E+00 , 1.801E+00 ,-7.388E-07 ,-1.494E-06 , 3.930E-06 
 1.529E-08 , 1.666E+00 , 1.801E+00 ,-7.446E-07 ,-2.281E-06 , 3.711E-06 
 1.530E-08 , 1.759E+00 , 1.801E+00 ,-7.462E-07 ,-2.501E-06 , 3.160E-06 
 1.530E-08 , 1.781E+00 , 1.801E+00 ,-7.471E-07 ,-2.620E-06 , 2.863E-06 
 1.531E-08 , 1.794E+00 , 1.800E+00 ,-9.345E-07 ,-3.910E-06 , 2.241E-06 
 1.531E-08 , 1.800E+00 , 1.800E+00 ,-1.181E-06 ,-4.173E-06 , 1.421E-06 
 1.532E-08 , 1.800E+00 , 1.800E+00 ,-8.869E-07 ,-1.964E-06 , 6.934E-08 
 1.532E-08 , 1.800E+00 , 1.800E+00 ,-5.333E-07 , 6.886E-07 ,-5.565E-07 
 1.533E-08 , 1.800E+00 , 1.800E+00 ,-1.406E-07 , 2.076E-06 ,-1.252E-06 
 1.535E-08 , 1.800E+00 , 1.800E+00 , 6.449E-07 , 1.901E-06 ,-1.323E-06 
 1.538E-08 , 1.800E+00 , 1.800E+00 , 3.465E-07 , 2.855E-07 ,-1.452E-06 
 1.543E-08 , 1.800E+00 , 1.800E+00 ,-2.504E-07 ,-5.942E-07 ,-1.148E-06 
 1.554E-08 , 1.800E+00 , 1.800E+00 ,-1.150E-07 , 1.270E-07 ,-5.958E-07 
 1.575E-08 , 1.800E+00 , 1.800E+00 , 1.559E-07 , 6.668E-08 ,-4.038E-07 
 1.616E-08 , 1.800E+00 , 1.800E+00 , 1.345E-07 ,-5.404E-08 ,-1.991E-08 
 1.700E-08 , 1.800E+00 , 1.800E+00 , 9.156E-08 ,-4.123E-08 ,-2.184E-08 
 1.867E-08 , 1.800E+00 , 1.800E+00 , 5.719E-09 ,-1.563E-08 ,-2.572E-08 
 2.020E-08 , 1.800E+00 , 1.800E+00 , 3.363E-09 , 7.730E-09 ,-2.925E-08 
 2.021E-08 , 1.734E+00 , 1.733E+00 , 6.018E-02 , 1.077E-03 , 7.053E-06 
 2.021E-08 , 1.652E+00 , 1.649E+00 , 1.386E-01 , 1.875E-03 , 1.783E-05 
 2.022E-08 , 1.554E+00 , 1.550E+00 , 2.344E-01 , 2.156E-03 , 3.310E-05 
 2.022E-08 , 1.407E+00 , 1.404E+00 , 3.802E-01 , 1.950E-03 , 5.946E-05 
 2.023E-08 , 1.244E+00 , 1.241E+00 , 5.443E-01 , 1.646E-03 , 9.025E-05 
 2.025E-08 , 1.024E+00 , 1.018E+00 , 7.682E-01 , 8.054E-04 , 1.015E-04 
 2.026E-08 , 7.522E-01 , 7.434E-01 , 1.044E+00 ,-2.167E-03 ,-2.041E-05 
